Orthogroup	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Transcript	Scaffold	Start	Stop	Direction
OG0002846	KOHALENSIS	PARANIGRA	584.5558879	460.0982931	522.3270905	0.345155152	0.114311778	3.019418979	0.0025326	0.010658809	TRINITY_GG_10003_c0_g1_i23.p1	Lko057S005707	78705	88776	+
OG0002848	KOHALENSIS	PARANIGRA	114.7852265	123.4440536	119.11464	-0.104265666	0.168881232	-0.617390486	0.536977196	0.697874933	TRINITY_GG_10009_c0_g1_i26.p1	Lko057S005988	34049	38536	+
OG0002849	KOHALENSIS	PARANIGRA	137.9278752	136.159011	137.0434431	0.024653489	0.139996194	0.176101135	0.86021449	0.92110437	TRINITY_GG_10009_c1_g1_i5.p1	Lko057S005988	42368	44450	-
OG0002850	KOHALENSIS	PARANIGRA	396.1822526	256.7869577	326.4846051	0.624946055	0.138278232	4.519482527	6.20E-06	4.38E-05	TRINITY_GG_1000_c0_g1_i1.p1	Lko057S005462	165290	166561	+
OG0002851	KOHALENSIS	PARANIGRA	122.177644	214.52308	168.350362	-0.812937268	0.17201209	-4.726047267	2.29E-06	1.71E-05	TRINITY_GG_10012_c0_g1_i2.p1	Lko057S003188	321764	339458	-
OG0002852	KOHALENSIS	PARANIGRA	84.76691519	85.0004086	84.8836619	-0.007839483	0.17044539	-0.045994103	0.96331495	0.979053732	TRINITY_GG_10013_c0_g1_i42.p1	Lko057S003188	279623	280720	+
OG0002853	KOHALENSIS	PARANIGRA	8.854516917	8.428910048	8.641713483	0.049202415	0.440607734	0.111669431	0.911085518	0.950826558	TRINITY_GG_10014_c0_g2_i1.p1	Lko057S003188	209721	256678	+
OG0002854	KOHALENSIS	PARANIGRA	33.77412631	28.75434116	31.26423374	0.21769135	0.230079386	0.946157559	0.344068229	0.520556389	TRINITY_GG_10014_c1_g1_i1.p1	Lko057S003188	167464	172288	+
OG0002855	KOHALENSIS	PARANIGRA	8892.026398	8974.531184	8933.278791	-0.013218387	0.076998001	-0.171671821	0.86369554	0.923049479	TRINITY_GG_10016_c0_g1_i14.p1	Lko057S003188	94789	113899	+
OG0002856	KOHALENSIS	PARANIGRA	268.4708781	268.1353486	268.3031134	0.003173995	0.095578683	0.033208191	0.973508566	0.984226654	TRINITY_GG_10016_c2_g1_i2.p1	Lko057S003188	114700	125814	-
OG0002857	KOHALENSIS	PARANIGRA	419.991497	158.137061	289.064279	1.411209519	0.136817526	10.31453759	6.06E-25	1.38E-23	TRINITY_GG_10021_c0_g1_i7.p1	Lko057S003188	360095	429189	-
OG0002858	KOHALENSIS	PARANIGRA	44.1092879	60.98253131	52.5459096	-0.467977556	0.643646879	-0.727071895	0.467181915	0.636545865	TRINITY_GG_10022_c0_g1_i2.p1	Lko057S003240	7060	8922	+
OG0002859	KOHALENSIS	PARANIGRA	80.74322885	95.97305609	88.35814247	-0.253884345	0.126212113	-2.011568777	0.044265414	0.115353275	TRINITY_GG_10028_c0_g1_i3.p1	Lko057S003240	160659	303923	+
