Scaffold	pos_reanalysis	LOD_reanalysis	size	LG	start_position	end_position	id_source	peak_location_reanalysis	scaffold_type_reanalysis	peak_location_finemap	scaffold_type_finemap	peak_location_reuse	scaffold_type_reuse
Lko057S000584			982071	chr1	1659614	2641685	KonPar					12.7	CI
Lko057S002179			294209	chr1	2807089	3101298	KonPar					12.7	peak
Lko057S000277	54.600015	0.398805869	2202380	chr1	10987840	13190220	CerEuk					59	CI
Lko057S003828			126984	chr1	14927260	15054244	CerEuk					59	CI
Lko057S002490	62.300017	13.62899656	1090297	chr1	16337625	17427922	CerEuk					59	CI
Lko057S002242	69.500024	21.6627065	527007	chr1	20199675	20726682	Reanalysis  + CerEuk	70	CI			59	CI
Lko057S000967	69.500025	21.6627063	560851	chr1	20726782	21287633	Reanalysis + 1.1  	70	CI	56.6	peak		
Lko057S010045	137.500081	1.067628159	149139	chr1	20874130	21023269	Reanalysis 	70	CI				
Lko057S002068	136.90008	0.690376029	2796977	chr1	21023369	23820346	Reanalysis 	70	CI				
Lko057S000662			687638	chr1	21287733	21975371	Reanalysis 	70	CI				
Lko057S017397	70.000026	22.17534592	200516	chr1	21975471	22175987	Reanalysis 	70	peak				
Lko057S002151	70.000027	22.17534525	1395659	chr1	22176087	23571746	Reanalysis + CerEuk + KonPar	70	peak			59; 58.1	CI; peak
Lko057S001056			758619	chr1	23571846	24330465	Reanalysis + CerEuk	70	CI			59	CI
Lko057S000559	69.200023	21.76592501	690333	chr1	24330565	25020898	Reanalysis 	70	CI				
Lko057S001235	70.600028	21.8330882	1089296	chr1	25020998	26110294	Reanalysis 	70	CI				
Lko057S004771	71.500029	20.95648813	1242530	chr1	30464729	31707259	SIM +  CerEuk			63.2	peak	59	CI
Lko057S004587			351328	chr1	31707359	32058687	SIM			63.2	peak		
Lko057S000494	95.200033	0.713413349	1453414	chr1	32058787	33512201	SIM + 1.2			63.2	peak		
Lko057S000873			1677836	chr1	34822408	36500244	PruKoh					71	peak
Lko057S000409			2533412	chr1	82918730	85452142	CerEuk					59	CI
Lko057S003259	141.700083	0.35922332	310692	chr1	96322965	96633657	1.3			97.2	CI		
Lko057S004073			933616	chr1	96633757	97567373	1.3			97.2	CI		
Lko057S001589	161.000089	1.372257653	265007	chr1	101133928	101398935	CerEuk					59	CI
Lko057S007909	195.300093	5.638515529	244368	chr1	104703746	104948114	Reanalysis 	1@198	CI				
Lko057S008178			423118	chr1	104948214	105371332	Reanalysis 	1@198	CI				
Lko057S001771	155.200087	1.314797648	488164	chr1	105371432	105859596	Reanalysis + 1.3 	1@198	CI	97.2	CI		
Lko057S002761	197.300094	5.879360262	1155579	chr1	105859696	107015275	Reanalysis + CerEuk	1@198	CI			59	CI
Lko057S004526			163227	chr1	107015375	107178602	Reanalysis 	1@198	CI				
Lko057S004214			275699	chr1	107178702	107454401	Reanalysis 	1@198	CI				
Lko057S003555			218665	chr1	107454501	107673166	Reanalysis 	1@198	CI				
Lko057S010149			148553	chr1	107673266	107821819	Reanalysis 	1@198	CI				
Lko057S002518			461772	chr1	107821919	108283691	Reanalysis 	1@198	CI				
Lko057S003130			528264	chr1	108283791	108812055	Reanalysis 	1@198	CI				
Lko057S004095			486612	chr1	108812155	109298767	Reanalysis + 1.4 	1@198	CI	124.5	peak		
Lko057S002077	198.100095	5.663695738	1010103	chr1	109298867	110308970	Reanalysis + PruKoh	1@198	peak			142.8	peak
Lko057S000502			751431	chr1	110309070	111060501	Reanalysis 	1@198	CI				
Lko057S001639			164821	chr1	111060601	111225422	Reanalysis 	1@198	CI				
Lko057S004196			247739	chr1	111225522	111473261	Reanalysis 	1@198	CI				
Lko057S004286	199.500097	5.692806828	617641	chr1	111473361	112091002	Reanalysis + 1.4 	1@198	CI	124.5	CI		
Lko057S002276	21.900008	0.027542837	1325001	chr1	111615486	112940487	Reanalysis 	1@198	CI				
Lko057S002586			1045372	chr1	112091102	113136474	Reanalysis 	1@198	CI				
Lko057S004794			370040	chr1	113136574	113506614	Reanalysis + CerEuk	1@198	CI			59	CI
Lko057S000817	199.500098	5.692807072	1435601	chr1	113506714	114942315	Reanalysis 	1@198	CI				
Lko057S003438			264073	chr1	114942415	115206488	Reanalysis 	1@198	CI				
Lko057S007321	202.7001	5.580263343	226227	chr1	115206588	115432815	Reanalysis 	1@198	CI				
Lko057S004757			238022	chr1	115432915	115670937	PruKoh					127.5	CI
Lko057S001067			114258	chr1	116808331	116922589	PruKoh					127.5	CI
Lko057S014985			133018	chr1	117063977	117196995	PruKoh					127.5	CI
Lko057S004289	171.000082	1.232660955	288022	chr2	2405128	2693150	Reanalysis 	2@165.6	CI				
Lko057S006401	165.600081	2.05793821	46586	chr2	2693250	2739836	Reanalysis 	2@165.6	peak				
Lko057S001069			1530803	chr2	2739936	4270739	Reanalysis 	2@165.6	CI				
Lko057S000063			217608	chr2	4270839	4488447	Reanalysis 	2@165.6	CI				
Lko057S002172			113921	chr2	4488547	4602468	Reanalysis 	2@165.6	CI				
Lko057S000482			205675	chr2	4602568	4808243	Reanalysis + CerEuk	2@165.6	CI			71	CI
Lko057S005043			456026	chr2	4808343	5264369	Reanalysis 	2@165.6	CI				
Lko057S019689	163.60008	2.519862778	42162	chr2	5264469	5306631	Reanalysis 	2@165.6	CI				
Lko057S001272			788296	chr2	5826829	6615125	CerEuk					71	CI
Lko057S000302	90.300053	1.641486503	292383	chr2	21994257	22286640	PruKoh					104	CI
Lko057S000842	100.000061	1.136976848	659883	chr2	25999415	26659298	PruKoh					104	CI
Lko057S000883			1276303	chr2	26718794	27995097	PruKoh					104	CI
Lko057S000330			2551155	chr2	27995197	30546352	PruKoh					104	CI
