Entry_Name	Entry	Protein names	Gene Names	Organism	Gene Ontology IDs	Orthogroup	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Transcript	Scaffold	Start	Stop	Direction
LRC45_CHICK	Q5ZI11	Leucine-rich repeat-containing protein 45	LRRC45 RCJMB04_31i7	Gallus gallus (Chicken)	GO:0005737; GO:0005813	OG0003880	NEOSPISA	SPISA	45.52008195	1546.506499	745.9804099	-5.085413525	0.156898762	-32.41206912	1.86E-230	1.79E-226	TRINITY_GG_13204_c0_g1_i4.p1	Lko057S001925	398670	412698	-
P2R3C_DANRE	Q803V3	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma	ppp2r3c zgc:55473	Danio rerio (Zebrafish) (Brachydanio rerio)	GO:0000226; GO:0001782; GO:0005634; GO:0005737; GO:0005813; GO:0030865; GO:0035303; GO:0043029; GO:0045579; GO:0046872	OG0006322	NEOSPISA	SPISA	13.28287491	598.999536	286.6173167	-5.505523642	0.178927064	-30.76965292	6.68E-208	3.22E-204	TRINITY_GG_21280_c0_g2_i5.p1	Lko057S003080	304867	311484	+
NA	NA	NA	NA	NA	NA	OG0010924	NEOSPISA	SPISA	5486.209236	220.5936783	3028.921976	4.639157461	0.157287986	29.49467147	3.37E-191	1.08E-187	TRINITY_GG_35785_c66_g1_i1.p1	Lko057S002987	434460	435767	-
FSH_DROME	P13709	Homeotic protein female sterile (Fragile-chorion membrane protein)	fs(1)h fsh CG2252	Drosophila melanogaster (Fruit fly)	GO:0000785; GO:0000977; GO:0001216; GO:0003682; GO:0004674; GO:0005634; GO:0006338; GO:0006355; GO:0006468; GO:0007362; GO:0016021; GO:0032968; GO:0045892; GO:0045944; GO:0048813; GO:0070577; GO:0106140	OG0006787	NEOSPISA	SPISA	645.4464328	54.48117756	369.662647	3.56202941	0.124184735	28.6833112	6.16E-181	1.49E-177	TRINITY_GG_2277_c0_g1_i34.p1	Lko057S003346	117567	192653	+
EF1B_ARTSA	P12262	"Elongation factor 1-beta, EF-1-beta"	NA	Artemia salina (Brine shrimp)	GO:0003746; GO:0005853	OG0004051	NEOSPISA	SPISA	1688.117118	188.7982396	988.4349746	3.162121962	0.112779746	28.03803054	5.59E-173	1.08E-169	TRINITY_GG_13783_c0_g1_i23.p2	Lko057S002007	44277	45317	+
PINK1_TRICA	D6WMX4	"Serine/threonine-protein kinase Pink1, mitochondrial, EC 2.7.11.1 (PTEN-induced putative kinase 1)"	Pink1 TcasGA2_TC013202	Tribolium castaneum (Red flour beetle)	GO:0000422; GO:0004672; GO:0004674; GO:0005524; GO:0005739; GO:0005741; GO:0005743; GO:0005829; GO:0006468; GO:0016021; GO:0018105; GO:0031398; GO:0031625; GO:0042981; GO:0046777; GO:0046872; GO:0090141; GO:1904544	OG0008739	NEOSPISA	SPISA	976.7930116	59.06516076	548.5200145	4.038226012	0.145898098	27.67840071	1.27E-168	2.05E-165	TRINITY_GG_29180_c3_g1_i5.p1	Lko057S001206	1524783	1529724	+
PP2B3_DROME	Q9VXF1	"Serine/threonine-protein phosphatase 2B catalytic subunit 3, EC 3.1.3.16 (Calmodulin-dependent calcineurin A3 subunit)"	CanA-14F CnnA14D CG9819	Drosophila melanogaster (Fruit fly)	GO:0004722; GO:0005516; GO:0005737; GO:0005955; GO:0017018; GO:0030431; GO:0033192; GO:0046872; GO:0097720	OG0006641	NEOSPISA	SPISA	676.759104	85.46430859	400.8215328	2.988943989	0.108068651	27.65782642	2.25E-168	3.10E-165	TRINITY_GG_22362_c15_g1_i18.p1	Lko057S002420	414234	439403	-
UVRAG_MOUSE	Q8K245	UV radiation resistance-associated protein	Uvrag Uvrag1	Mus musculus (Mouse)	GO:0000149; GO:0000323; GO:0000421; GO:0000775; GO:0005764; GO:0005768; GO:0005769; GO:0005770; GO:0005783; GO:0005813; GO:0006281; GO:0006468; GO:0006890; GO:0006914; GO:0007051; GO:0007059; GO:0007098; GO:0010506; GO:0017124; GO:0030496; GO:0032465; GO:0032801; GO:0032991; GO:0035032; GO:0035493; GO:0036092; GO:0045335; GO:0046718; GO:0051684; GO:0070418; GO:0071900; GO:0097352; GO:0097680	OG0007607	NEOSPISA	SPISA	44.47551469	398.772862	209.8142768	-3.176323112	0.114873134	-27.65070471	2.74E-168	3.30E-165	TRINITY_GG_25290_c4_g1_i6.p1	Lko057S002115	189983	214888	-
SRSF2_BOVIN	Q3MHR5	"Serine/arginine-rich splicing factor 2 (Splicing component, 35 kDa) (Splicing factor SC35, SC-35) (Splicing factor, arginine/serine-rich 2)"	SRSF2 SFRS2	Bos taurus (Bovine)	GO:0000381; GO:0000398; GO:0003723; GO:0005681; GO:0005737; GO:0005829; GO:0016607; GO:0036002	OG0006061	NEOSPISA	SPISA	32.54885771	409.1561212	208.298914	-3.666154484	0.134088753	-27.34125274	1.37E-164	1.47E-161	TRINITY_GG_2033_c1_g2_i10.p2	Lko057S001901	276630	279311	+
NA	NA	NA	NA	NA	NA	OG0009011	NEOSPISA	SPISA	51.36924322	1476.167336	716.2750199	-4.843336977	0.177476746	-27.28998079	5.58E-164	5.39E-161	TRINITY_GG_30030_c2_g1_i2.p6	Lko057S005438	120597	124950	+
NA	NA	NA	NA	NA	NA	OG0010809	NEOSPISA	SPISA	3986.363868	384.7680283	2305.619143	3.373186022	0.124085323	27.18440778	9.93E-163	8.72E-160	TRINITY_GG_3547_c0_g2_i22.p2	Lko057S005419	69489	70310	-
NA	NA	NA	NA	NA	NA	OG0012916	NEOSPISA	SPISA	987.3932364	95.38139791	571.1210451	3.375736649	0.124441858	27.1270191	4.73E-162	3.80E-159	TRINITY_GG_9678_c0_g1_i44.p1	Lko057S000628	154501	161606	-
