Entry_Name	Entry	Protein names	Gene Names	Organism	Gene Ontology IDs	Orthogroup	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Transcript	Scaffold	Start	Stop	Direction
NA	NA	NA	NA	NA	NA	OG0006352	KOHALENSIS	PARANIGRA	1818.12499	46.88198913	932.5034896	5.292933041	0.126909604	41.70632372	0	0	TRINITY_GG_21350_c8_g1_i1.p2	Lko057S006056	23951	26453	-
NA	NA	NA	NA	NA	NA	OG0009301	KOHALENSIS	PARANIGRA	1735.36769	69.78923457	902.5784621	4.64287916	0.114113646	40.6864499	0	0	TRINITY_GG_30936_c1_g1_i22.p1	Lko057S001992	395507	397054	+
NA	NA	NA	NA	NA	NA	OG0011769	KOHALENSIS	PARANIGRA	91.19420967	3008.855064	1550.024637	-5.045053467	0.104349431	-48.34768528	0	0	TRINITY_GG_5816_c2_g1_i6.p6	Lko057S004801	265662	267138	+
NA	NA	NA	NA	NA	NA	OG0007302	KOHALENSIS	PARANIGRA	6064.595867	373.580273	3219.08807	4.021364259	0.111399163	36.09869365	2.38E-285	5.73E-282	TRINITY_GG_24361_c0_g1_i32.p1	Lko057S005037	730022	734565	+
BOD1_MOUSE	Q5SQY2	Biorientation of chromosomes in cell division protein 1 (Biorientation defective protein 1) (Protein FAM44B)	Bod1 Fam44b	Mus musculus (Mouse)	GO:0000922; GO:0000940; GO:0004864; GO:0005737; GO:0005813; GO:0005876; GO:0007049; GO:0032515; GO:0048188; GO:0051301; GO:0051721	OG0005734	KOHALENSIS	PARANIGRA	3952.891008	536.9519975	2244.921503	2.881131021	0.080345769	35.85915054	1.32E-281	2.55E-278	TRINITY_GG_19559_c0_g1_i48.p1	Lko057S000193	446985	519029	+
YH24_CAEEL	Q27245	"Putative aminopeptidase W07G4.4, EC 3.4.11.-"	lap-2 W07G4.4	Caenorhabditis elegans	GO:0005737; GO:0006508; GO:0008233; GO:0030145; GO:0070006	OG0005835	KOHALENSIS	PARANIGRA	1147.814751	16.50405909	582.1594051	6.097957608	0.171726625	35.50968068	3.48E-276	5.60E-273	TRINITY_GG_1968_c3_g1_i25.p1	Lko057S000834	119860	127971	-
NA	NA	NA	NA	NA	NA	OG0011187	KOHALENSIS	PARANIGRA	8073.579214	769.8244438	4421.701829	3.391187327	0.096045647	35.30807949	4.41E-273	6.08E-270	TRINITY_GG_4112_c4_g1_i1.p1	Lko057S001006	479009	485961	-
NA	NA	NA	NA	NA	NA	OG0012401	KOHALENSIS	PARANIGRA	1140.880487	13360.4288	7250.654643	-3.550043994	0.106068502	-33.4693518	1.35E-245	1.62E-242	TRINITY_GG_7939_c3_g1_i22.p3	Lko057S000851	1391567	1399042	+
NA	NA	NA	NA	NA	NA	OG0006773	KOHALENSIS	PARANIGRA	822.5903825	50.89912518	436.7447538	4.022127038	0.131783714	30.52066833	1.39E-204	1.48E-201	TRINITY_GG_22769_c0_g2_i45.p3	Lko057S000600	54524	59454	+
RS14A_DROME	C0HKA0	40S ribosomal protein S14a	RpS14a CG1524	Drosophila melanogaster (Fruit fly)	GO:0000028; GO:0000462; GO:0002181; GO:0003735; GO:0006412; GO:0022626; GO:0022627; GO:0048027; GO:0070181	OG0006183	KOHALENSIS	PARANIGRA	172.440192	3152.806426	1662.623309	-4.192554881	0.140726472	-29.79222616	4.93E-195	4.75E-192	TRINITY_GG_20786_c0_g1_i14.p1	Lko057S000927	664757	671252	+
NA	NA	NA	NA	NA	NA	OG0004656	KOHALENSIS	PARANIGRA	4752.540883	406.8849775	2579.71293	3.548958214	0.121134594	29.29764398	1.11E-188	9.74E-186	TRINITY_GG_15918_c1_g1_i37.p1	Lko057S010463	27700	40588	+
PSB4_MOUSE	P99026	Proteasome subunit beta type-4 (Low molecular mass protein 3) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3)	Psmb4 Lmp3	Mus musculus (Mouse)	GO:0000502; GO:0001530; GO:0002862; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0005839; GO:0010498; GO:0019774; GO:0036064	OG0006950	KOHALENSIS	PARANIGRA	55.92361472	868.8336316	462.3786231	-3.952392023	0.136513406	-28.95240942	2.62E-184	2.10E-181	TRINITY_GG_23262_c3_g1_i3.p2	Lko057S005509	247684	248878	+
FAF2_HUMAN	Q96CS3	FAS-associated factor 2 (Protein ETEA) (UBX domain-containing protein 3B) (UBX domain-containing protein 8)	FAF2 ETEA KIAA0887 UBXD8 UBXN3B	Homo sapiens (Human)	GO:0005576; GO:0005783; GO:0005811; GO:0006986; GO:0030433; GO:0030970; GO:0031625; GO:0034098; GO:0034389; GO:0035473; GO:0035578; GO:0043130; GO:0055102	OG0006405	KOHALENSIS	PARANIGRA	135.7232684	769.6138572	452.6685628	-2.505951822	0.087866576	-28.51996672	6.63E-179	4.91E-176	TRINITY_GG_21522_c0_g2_i14.p1	Lko057S001592	100511	108689	-
NA	NA	NA	NA	NA	NA	OG0011533	KOHALENSIS	PARANIGRA	692.5292499	28.74817707	360.6387135	4.619456163	0.162119629	28.49412005	1.39E-178	9.54E-176	TRINITY_GG_5039_c9_g1_i4.p1	Lko057S001659	169512	179871	+
DERL2_MOUSE	Q8BNI4	Derlin-2 (Degradation in endoplasmic reticulum protein 2) (Der1-like protein 2) (F-LANa)	Derl2 Der2 Flana	Mus musculus (Mouse)	GO:0000839; GO:0001967; GO:0005047; GO:0005769; GO:0005770; GO:0005783; GO:0008284; GO:0030176; GO:0030307; GO:0030433; GO:0030968; GO:0030970; GO:0044877; GO:0051787; GO:1904153	OG0010655	KOHALENSIS	PARANIGRA	416.1989568	30.83632527	223.517641	3.754304323	0.133351005	28.15355102	2.17E-174	1.39E-171	TRINITY_GG_35127_c1_g2_i27.p3	Lko057S001242	547398	548641	+
PP2B3_DROME	Q9VXF1	"Serine/threonine-protein phosphatase 2B catalytic subunit 3, EC 3.1.3.16 (Calmodulin-dependent calcineurin A3 subunit)"	CanA-14F CnnA14D CG9819	Drosophila melanogaster (Fruit fly)	GO:0004722; GO:0005516; GO:0005737; GO:0005955; GO:0017018; GO:0030431; GO:0033192; GO:0046872; GO:0097720	OG0006641	KOHALENSIS	PARANIGRA	672.1032531	77.5639308	374.833592	3.127492045	0.113430541	27.57186913	2.42E-167	1.46E-164	TRINITY_GG_22362_c15_g1_i18.p1	Lko057S002420	414234	439403	-
NA	NA	NA	NA	NA	NA	OG0004231	KOHALENSIS	PARANIGRA	95.10035189	1584.071827	839.5860893	-4.055037263	0.147883936	-27.42040403	1.57E-165	8.88E-163	TRINITY_GG_14311_c0_g1_i1.p1	Lko057S002297	1618041	1622397	+
NA	NA	NA	NA	NA	NA	OG0010289	KOHALENSIS	PARANIGRA	431.5849682	30.6023074	231.0936378	3.825930007	0.140093308	27.30986986	3.24E-164	1.73E-161	TRINITY_GG_34022_c4_g1_i7.p2	Lko057S003111	749190	767797	+
NA	NA	NA	NA	NA	NA	OG0006706	KOHALENSIS	PARANIGRA	162.1973366	1360.436628	761.3169822	-3.067921427	0.113222806	-27.09632043	1.09E-161	5.52E-159	TRINITY_GG_22535_c1_g1_i6.p3	Lko057S001907	554493	556289	+
NA	NA	NA	NA	NA	NA	OG0009945	KOHALENSIS	PARANIGRA	30.94283373	1048.276842	539.6098378	-5.076575381	0.192040114	-26.43497383	5.43E-154	2.62E-151	TRINITY_GG_33027_c3_g1_i1.p1	Lko057S004105	14612	22458	+
SPF30_XENTR	Q6DEY1	Survival of motor neuron-related-splicing factor 30 (Survival motor neuron domain-containing protein 1)	smndc1 spf30 TGas076b22.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	GO:0003723; GO:0005634; GO:0005681; GO:0005737; GO:0006397; GO:0008380; GO:0015030; GO:0016607	OG0012686	KOHALENSIS	PARANIGRA	398.5326418	34.76516036	216.6489011	3.535629999	0.134910359	26.2072537	2.20E-151	1.01E-148	TRINITY_GG_8952_c0_g1_i15.p1	Lko057S000656	12006	15260	-
NA	NA	NA	NA	NA	NA	OG0010187	KOHALENSIS	PARANIGRA	1745.893951	5367.812329	3556.85314	-1.620197177	0.062323269	-25.99666532	5.40E-149	2.37E-146	TRINITY_GG_33736_c0_g1_i24.p1	Lko057S003514	55842	61949	+
STX17_HUMAN	P56962	Syntaxin-17	STX17	Homo sapiens (Human)	GO:0000149; GO:0000421; GO:0005484; GO:0005739; GO:0005776; GO:0005789; GO:0005793; GO:0005829; GO:0005886; GO:0006886; GO:0006887; GO:0006888; GO:0006906; GO:0007030; GO:0012505; GO:0012507; GO:0016021; GO:0016240; GO:0019901; GO:0019903; GO:0030134; GO:0030868; GO:0031201; GO:0033116; GO:0034497; GO:0044233; GO:0048278; GO:0097111; GO:0097352	OG0008012	KOHALENSIS	PARANIGRA	438.0084229	40.64139375	239.3249083	3.42445619	0.134045025	25.54705917	5.92E-144	2.48E-141	TRINITY_GG_26702_c1_g1_i10.p1	Lko057S001814	31236	35299	+
FBX28_BOVIN	Q2NL16	F-box only protein 28	FBXO28	Bos taurus (Bovine)	GO:0000209; GO:0000776; GO:0042802	OG0008344	KOHALENSIS	PARANIGRA	9.393663123	266.5495705	137.9716168	-4.823399453	0.191892741	-25.13591403	2.01E-139	8.09E-137	TRINITY_GG_27757_c1_g1_i1.p2	Lko057S006758	1570	2055	+
C1D_DANRE	Q5XJ97	Nuclear nucleic acid-binding protein C1D	c1d zgc:103509	Danio rerio (Zebrafish) (Brachydanio rerio)	GO:0000178; GO:0000460; GO:0003677; GO:0003723; GO:0005730; GO:0005737; GO:0010468	OG0003692	KOHALENSIS	PARANIGRA	776.5168158	97.37237524	436.9445955	3.001333446	0.120055963	24.9994533	6.20E-138	2.39E-135	TRINITY_GG_1261_c1_g1_i1.p1	Lko057S004018	337105	337647	+
NA	NA	NA	NA	NA	NA	OG0012273	KOHALENSIS	PARANIGRA	39.02722208	659.1252224	349.0762223	-4.078487788	0.163567849	-24.93453222	3.14E-137	1.17E-134	TRINITY_GG_7520_c0_g1_i35.p3	Lko057S003647	277605	288386	-
NA	NA	NA	NA	NA	NA	OG0004570	KOHALENSIS	PARANIGRA	1355.507334	133.2625797	744.384957	3.350796924	0.135025498	24.81603082	6.02E-136	2.15E-133	TRINITY_GG_15558_c1_g1_i8.p1	Lko057S001586	152943	164179	-
NA	NA	NA	NA	NA	NA	OG0008651	KOHALENSIS	PARANIGRA	3.881055645	425.7398042	214.8104299	-6.782930469	0.275626296	-24.60915585	1.01E-133	3.47E-131	TRINITY_GG_28929_c0_g1_i24.p2	Lko057S000525	86257	89820	-
NA	NA	NA	NA	NA	NA	OG0008626	KOHALENSIS	PARANIGRA	157.0145319	1823.473354	990.2439431	-3.538081532	0.14445017	-24.49343967	1.74E-132	5.77E-130	TRINITY_GG_28808_c0_g1_i4.p4	Lko057S004750	6075	18700	+
PCCA_HUMAN	P05165	"Propionyl-CoA carboxylase alpha chain, mitochondrial, PCCase subunit alpha, EC 6.4.1.3 (Propanoyl-CoA:carbon dioxide ligase subunit alpha)"	PCCA	Homo sapiens (Human)	GO:0004658; GO:0005524; GO:0005739; GO:0005759; GO:0005829; GO:0006631; GO:0009081; GO:0009374; GO:0019626; GO:0019899; GO:0046872; GO:1902494	OG0011132	KOHALENSIS	PARANIGRA	738.7844887	174.9194648	456.8519767	2.076149115	0.084868343	24.46317472	3.64E-132	1.17E-129	TRINITY_GG_3925_c1_g1_i32.p1	Lko057S005405	87798	111871	-
NA	NA	NA	NA	NA	NA	OG0005418	KOHALENSIS	PARANIGRA	846.0610309	3499.253155	2172.657093	-2.04819388	0.083944966	-24.39924605	1.74E-131	5.42E-129	TRINITY_GG_18347_c2_g1_i33.p1	Lko057S001059	130536	130613	+
NA	NA	NA	NA	NA	NA	OG0009716	KOHALENSIS	PARANIGRA	137.6082143	1297.337852	717.4730329	-3.237771814	0.132856945	-24.37036169	3.53E-131	1.06E-128	TRINITY_GG_32167_c1_g1_i1.p1	Lko057S001833	86196	90323	-
NA	NA	NA	NA	NA	NA	OG0003964	KOHALENSIS	PARANIGRA	43.92594752	839.1953533	441.5606504	-4.257186156	0.17496369	-24.3318266	9.03E-131	2.64E-128	TRINITY_GG_13459_c1_g1_i12.p2	Lko057S000420	303706	321679	-
NA	NA	NA	NA	NA	NA	OG0009306	KOHALENSIS	PARANIGRA	626.5125769	113.2553717	369.8839743	2.466863771	0.101759655	24.24206106	8.02E-130	2.27E-127	TRINITY_GG_30942_c1_g1_i2.p1	Lko057S001012	4518	4640	+
SYF2_XENTR	Q28G05	Pre-mRNA-splicing factor syf2	syf2 TGas131i06.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	GO:0000398; GO:0000974; GO:0005634; GO:0071007; GO:0071013; GO:0071014	OG0012382	KOHALENSIS	PARANIGRA	374.7186849	32.69683866	203.7077618	3.524028846	0.146361108	24.07763162	4.29E-128	1.18E-125	TRINITY_GG_7910_c1_g1_i27.p1	Lko057S000659	377393	384567	+
