Orthogroup	lk	ln	lp	ls
OG0002846	TRINITY_GG_10003_c0_g1_i23.p1	TRINITY_GG_13460_c0_g1_i15.p1	TRINITY_GG_7198_c0_g1_i35.p1	TRINITY_GG_7005_c0_g1_i24.p1
OG0002847	TRINITY_GG_10008_c0_g1_i1.p1	TRINITY_GG_32610_c0_g1_i1.p1	TRINITY_GG_1727_c0_g1_i1.p1	TRINITY_GG_27037_c0_g1_i1.p1
OG0002848	TRINITY_GG_10009_c0_g1_i26.p1	TRINITY_GG_32611_c0_g1_i11.p1	TRINITY_GG_1728_c0_g1_i32.p1	TRINITY_GG_27035_c0_g1_i2.p1
OG0002849	TRINITY_GG_10009_c1_g1_i5.p1	TRINITY_GG_32611_c1_g1_i1.p1	TRINITY_GG_1728_c1_g1_i10.p1	TRINITY_GG_27035_c1_g1_i9.p1
OG0002850	TRINITY_GG_1000_c0_g1_i1.p1	TRINITY_GG_33531_c0_g1_i1.p1	TRINITY_GG_3769_c0_g1_i3.p1	TRINITY_GG_8297_c0_g1_i1.p1
OG0002851	TRINITY_GG_10012_c0_g1_i2.p1	TRINITY_GG_6610_c9_g1_i2.p1	TRINITY_GG_21276_c4_g1_i13.p1	TRINITY_GG_3546_c10_g1_i28.p1
OG0002852	TRINITY_GG_10013_c0_g1_i42.p1	TRINITY_GG_6610_c4_g1_i11.p1	TRINITY_GG_21276_c1_g1_i4.p1	TRINITY_GG_3546_c2_g1_i1.p1
OG0002853	TRINITY_GG_10014_c0_g2_i1.p1	TRINITY_GG_6610_c8_g1_i5.p1	TRINITY_GG_21276_c8_g1_i5.p1	TRINITY_GG_3546_c5_g1_i5.p1
OG0002854	TRINITY_GG_10014_c1_g1_i1.p1	TRINITY_GG_6610_c5_g1_i1.p1	TRINITY_GG_21276_c7_g1_i2.p1	TRINITY_GG_3554_c0_g1_i2.p1
OG0002855	TRINITY_GG_10016_c0_g1_i14.p1	TRINITY_GG_6610_c6_g1_i20.p1	TRINITY_GG_21276_c0_g1_i41.p1	TRINITY_GG_3547_c0_g1_i29.p1
OG0002856	TRINITY_GG_10016_c2_g1_i2.p1	TRINITY_GG_6610_c2_g1_i15.p1	TRINITY_GG_21276_c3_g1_i31.p1	TRINITY_GG_3549_c0_g1_i2.p1
OG0002857	TRINITY_GG_10021_c0_g1_i7.p1	TRINITY_GG_6610_c1_g1_i1.p1	TRINITY_GG_21276_c18_g1_i21.p1	TRINITY_GG_3546_c9_g3_i14.p1
OG0002858	TRINITY_GG_10022_c0_g1_i2.p1	TRINITY_GG_23295_c0_g2_i1.p1	TRINITY_GG_21750_c0_g1_i2.p1	TRINITY_GG_9722_c0_g2_i2.p1
OG0002859	TRINITY_GG_10028_c0_g1_i3.p1	TRINITY_GG_23294_c4_g1_i6.p1	TRINITY_GG_21751_c2_g3_i4.p1	TRINITY_GG_9723_c0_g1_i2.p1
OG0002860	TRINITY_GG_10048_c4_g1_i1.p1	TRINITY_GG_16705_c0_g1_i1.p1	TRINITY_GG_12810_c0_g1_i1.p1	TRINITY_GG_33216_c0_g1_i2.p1
OG0002861	TRINITY_GG_1004_c0_g1_i5.p1	TRINITY_GG_7544_c0_g1_i3.p1	TRINITY_GG_22032_c0_g1_i1.p1	TRINITY_GG_33811_c0_g1_i2.p1
OG0002862	TRINITY_GG_1006_c0_g2_i2.p1	TRINITY_GG_7544_c3_g3_i1.p1	TRINITY_GG_22018_c0_g1_i15.p1	TRINITY_GG_33813_c0_g1_i4.p1
OG0002863	TRINITY_GG_10073_c0_g1_i1.p1	TRINITY_GG_8705_c0_g1_i10.p1	TRINITY_GG_31832_c0_g1_i1.p1	TRINITY_GG_2116_c0_g1_i3.p1
OG0002864	TRINITY_GG_10087_c0_g2_i3.p1	TRINITY_GG_34572_c0_g2_i1.p1	TRINITY_GG_29448_c0_g1_i1.p1	TRINITY_GG_24041_c0_g1_i3.p1
