Orthogroup	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Transcript	Scaffold	Start	Stop	Direction
OG0002846	NEOSPISA	SPISA	512.8905862	443.8775814	480.6845173	0.207300431	0.108616586	1.908552259	0.056319876	0.123665538	TRINITY_GG_10003_c0_g1_i23.p1	Lko057S005707	78705	88776	+
OG0002848	NEOSPISA	SPISA	161.5040971	177.546351	168.9904823	-0.132340928	0.123236695	-1.073875994	0.282878264	0.421242158	TRINITY_GG_10009_c0_g1_i26.p1	Lko057S005988	34049	38536	+
OG0002849	NEOSPISA	SPISA	176.5544647	182.7201901	179.4318032	-0.050422058	0.118262979	-0.42635539	0.669848902	0.777491689	TRINITY_GG_10009_c1_g1_i5.p1	Lko057S005988	42368	44450	-
OG0002850	NEOSPISA	SPISA	277.6380146	207.3717131	244.8470739	0.421171019	0.192159619	2.191776926	0.028395618	0.072010631	TRINITY_GG_1000_c0_g1_i1.p1	Lko057S005462	165290	166561	+
OG0002851	NEOSPISA	SPISA	335.0886157	474.9271202	400.3465845	-0.504759104	0.128646232	-3.923621374	8.72E-05	4.58E-04	TRINITY_GG_10012_c0_g1_i2.p1	Lko057S003188	321764	339458	-
OG0002852	NEOSPISA	SPISA	59.049356	104.4657977	80.24369547	-0.82434452	0.176894093	-4.66010201	3.16E-06	2.13E-05	TRINITY_GG_10013_c0_g1_i42.p1	Lko057S003188	279623	280720	+
OG0002853	NEOSPISA	SPISA	11.5288232	10.7426501	11.16194242	0.094571711	0.427431412	0.221255875	0.824893205	0.889657548	TRINITY_GG_10014_c0_g2_i1.p1	Lko057S003188	209721	256678	+
OG0002854	NEOSPISA	SPISA	59.24718401	96.57730142	76.66790547	-0.703540054	0.206945554	-3.399638408	6.75E-04	0.002908957	TRINITY_GG_10014_c1_g1_i1.p1	Lko057S003188	167464	172288	+
OG0002855	NEOSPISA	SPISA	11921.71586	8457.53652	10305.09883	0.495280077	0.100901508	4.908549802	9.18E-07	6.67E-06	TRINITY_GG_10016_c0_g1_i14.p1	Lko057S003188	94789	113899	+
OG0002856	NEOSPISA	SPISA	267.7930894	229.8810314	250.1007957	0.21708883	0.101435713	2.140161717	0.0323417	0.079643247	TRINITY_GG_10016_c2_g1_i2.p1	Lko057S003188	114700	125814	-
OG0002857	NEOSPISA	SPISA	300.0522183	403.0855058	348.1344191	-0.425008244	0.134313947	-3.164289749	0.001554619	0.006125596	TRINITY_GG_10021_c0_g1_i7.p1	Lko057S003188	360095	429189	-
OG0002858	NEOSPISA	SPISA	2.888503794	6.091134233	4.383064665	-1.044109817	0.522803879	-1.997134795	0.045810542	0.105081331	TRINITY_GG_10022_c0_g1_i2.p1	Lko057S003240	7060	8922	+
OG0002859	NEOSPISA	SPISA	82.2246446	68.61671285	75.87427645	0.268205202	0.188179374	1.425263549	0.154081033	0.268973343	TRINITY_GG_10028_c0_g1_i3.p1	Lko057S003240	160659	303923	+
OG0002860	NEOSPISA	SPISA	217.2717885	209.7564785	213.7646438	0.052129604	0.126044265	0.413581722	0.679180462	0.784363276	TRINITY_GG_10048_c4_g1_i1.p1	Lko057S007475	21112	31945	+
OG0002861	NEOSPISA	SPISA	165.1190126	187.2931771	175.466956	-0.184608956	0.152055392	-1.214090166	0.224713295	0.356858459	TRINITY_GG_1004_c0_g1_i5.p1	Lko057S005630	67477	111326	+
OG0002862	NEOSPISA	SPISA	5.998885451	2.228707126	4.239468899	1.41855313	0.705049528	2.011990752	0.044220912	0.102163001	TRINITY_GG_1006_c0_g2_i2.p1	Lko057S005630	217982	218473	+
OG0002863	NEOSPISA	SPISA	4.009027783	9.071627872	6.371574491	-1.179069692	0.515687599	-2.286403035	0.022230691	0.05890506	TRINITY_GG_10073_c0_g1_i1.p1	Lko057S011142	62045	66644	-
OG0002864	NEOSPISA	SPISA	279.7174799	258.4102337	269.7740983	0.115743919	0.098516064	1.174873559	0.240045305	0.374312533	TRINITY_GG_10087_c0_g2_i3.p1	Lko057S000789	82837	82952	+
OG0002865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRINITY_GG_1008_c0_g1_i1.p1	Lko057S005630	1151382	1173728	+
OG0002866	NEOSPISA	SPISA	78.9354193	77.82439581	78.41694167	0.024291253	0.209031356	0.116208654	0.907487178	0.941411933	TRINITY_GG_1013_c0_g1_i2.p1	Lko057S005630	1053189	1078941	+
OG0002867	NEOSPISA	SPISA	18.09658879	28.32029707	22.86765265	-0.669539081	0.249697378	-2.68140213	0.007331436	0.023498066	TRINITY_GG_1013_c1_g1_i1.p1	Lko057S005630	1006627	1010321	-
OG0002868	NEOSPISA	SPISA	236.9413703	286.205352	259.9312284	-0.274322359	0.178536175	-1.536508545	0.124413704	0.229374406	TRINITY_GG_10144_c0_g1_i1.p1	Lko057S000978	186978	189959	-
OG0002869	NEOSPISA	SPISA	25.27449115	38.3298217	31.36697874	-0.597599419	0.23122841	-2.584454993	0.009753303	0.029976973	TRINITY_GG_10159_c0_g1_i2.p1	Lko057S000091	818318	820448	-
OG0002870	NEOSPISA	SPISA	265.6868013	262.5300647	264.2136576	0.019252916	0.135803765	0.141770119	0.887261587	0.930113425	TRINITY_GG_10159_c1_g1_i1.p1	Lko057S000091	842299	842964	+
OG0002871	NEOSPISA	SPISA	1.109265109	8.129136335	4.385205015	-2.817363041	0.719389565	-3.916324586	8.99E-05	4.71E-04	TRINITY_GG_1015_c0_g1_i2.p2	Lko057S005630	763823	764652	+
OG0002872	NEOSPISA	SPISA	35.97415157	44.92134738	40.14950961	-0.314267899	0.309953487	-1.013919549	0.310621142	0.451621254	TRINITY_GG_1015_c0_g1_i2.p1	Lko057S005630	767978	799382	-
OG0002873	NEOSPISA	SPISA	383.1252393	452.0397105	415.2853258	-0.237064825	0.103394049	-2.292828534	0.021857879	0.058149183	TRINITY_GG_10160_c0_g1_i29.p3	Lko057S000091	531779	532726	+
OG0002874	NEOSPISA	SPISA	325.1866923	237.2686122	284.1582549	0.452290545	0.153360709	2.9491944	0.003186035	0.011506185	TRINITY_GG_10160_c0_g1_i29.p2	Lko057S000091	540009	547827	-
OG0002875	NEOSPISA	SPISA	620.7517491	549.425959	587.4663804	0.174907844	0.073905038	2.366656584	0.01794958	0.049525454	TRINITY_GG_10160_c0_g1_i29.p1	Lko057S000091	532880	539296	-
OG0002876	NEOSPISA	SPISA	2587.311421	1256.945958	1966.474205	1.041263465	0.099331005	10.48276381	1.04E-25	2.66E-24	TRINITY_GG_10160_c1_g1_i21.p1	Lko057S000091	608421	616795	-
OG0002877	NEOSPISA	SPISA	69.09237039	74.62658309	71.67500298	-0.11063804	0.354535413	-0.312064849	0.75499124	0.841813925	TRINITY_GG_10160_c2_g2_i5.p1	Lko057S000091	5918	151654	-
OG0002878	NEOSPISA	SPISA	340.4589651	383.4269232	360.5106789	-0.168712475	0.136376747	-1.237105871	0.21604778	0.345941538	TRINITY_GG_10160_c3_g1_i15.p2	Lko057S000091	503583	504877	+
OG0002879	NEOSPISA	SPISA	309.2072057	323.897553	316.0627011	-0.069906569	0.10875997	-0.642760099	0.520379778	0.652891713	TRINITY_GG_10160_c3_g1_i15.p1	Lko057S000091	507728	531274	-
OG0002880	NEOSPISA	SPISA	210.6792265	186.5293566	199.4092872	0.173881058	0.124073858	1.401431869	0.161084968	0.278331997	TRINITY_GG_10160_c4_g1_i4.p1	Lko057S000091	559365	560077	-
OG0002881	NEOSPISA	SPISA	88.97787917	102.7445789	95.40233903	-0.21144084	0.2434909	-0.868372658	0.385190358	0.528678693	TRINITY_GG_10161_c0_g1_i10.p1	Lko057S000091	623822	641057	-
OG0002882	NEOSPISA	SPISA	370.7800645	467.7355014	416.025935	-0.33430355	0.196146677	-1.704354901	0.088314804	0.175991758	TRINITY_GG_10162_c0_g2_i5.p1	Lko057S000091	972867	1252997	+
OG0002883	NEOSPISA	SPISA	41.10706155	68.1040511	53.70565668	-0.721277454	0.202329882	-3.564858779	3.64E-04	0.001682935	TRINITY_GG_10162_c1_g1_i1.p1	Lko057S000091	958490	958936	+
OG0002884	NEOSPISA	SPISA	55.89362373	53.37322764	54.71743888	0.068237426	0.292034138	0.233662496	0.815247005	0.883781595	TRINITY_GG_10162_c2_g1_i2.p1	Lko057S000091	945607	952566	+
OG0002885	NEOSPISA	SPISA	9.042437278	23.9332554	15.99148573	-1.422331278	0.279976737	-5.080176633	3.77E-07	2.90E-06	TRINITY_GG_10167_c0_g1_i1.p1	Lko057S000192	82187	82783	-
OG0002887	NEOSPISA	SPISA	203.9821158	186.143638	195.6574928	0.133570109	0.202473777	0.659690904	0.509452205	0.643444931	TRINITY_GG_10170_c0_g1_i2.p1	Lko057S000192	856	2073	-
OG0002888	NEOSPISA	SPISA	121.5522767	179.5850179	148.6342226	-0.560540334	0.259327964	-2.161511341	0.030655862	0.076339262	TRINITY_GG_10172_c1_g1_i2.p1	Lko057S000192	455315	461043	-
OG0002889	NEOSPISA	SPISA	20.29610881	15.74668537	18.17304454	0.364460388	0.351967925	1.035493186	0.300438647	0.43992181	TRINITY_GG_10172_c2_g1_i6.p1	Lko057S000192	191301	192326	-
OG0002890	NEOSPISA	SPISA	216.7963083	141.5205924	181.6676409	0.616870712	0.143943715	4.28549947	1.82E-05	1.08E-04	TRINITY_GG_10172_c3_g1_i1.p1	Lko057S000192	251532	253067	-
