Orthogroup	kohalensis	neospisa	paranigra	spisa	termite
OG0002964	TRINITY_GG_10008_c0_g1_i1.p1	TRINITY_GG_32610_c0_g1_i1.p1	TRINITY_GG_1727_c0_g1_i1.p1	TRINITY_GG_27037_c0_g1_i1.p1	A0A067RQW4|unreviewed|RRM
OG0002965	TRINITY_GG_10009_c0_g1_i26.p1	TRINITY_GG_32611_c0_g1_i11.p1	TRINITY_GG_1728_c0_g1_i32.p1	TRINITY_GG_27035_c0_g1_i2.p1	A0A067R256|unreviewed|Probable
OG0002966	TRINITY_GG_10009_c1_g1_i5.p1	TRINITY_GG_32611_c1_g1_i1.p1	TRINITY_GG_1728_c1_g1_i10.p1	TRINITY_GG_27035_c1_g1_i9.p1	A0A067QLP7|unreviewed|Protein
OG0002968	TRINITY_GG_10014_c0_g2_i1.p1	TRINITY_GG_6610_c8_g1_i5.p1	TRINITY_GG_21276_c8_g1_i5.p1	TRINITY_GG_3546_c5_g1_i5.p1	A0A067QXI9|unreviewed|Protein
OG0002969	TRINITY_GG_10021_c0_g1_i7.p1	TRINITY_GG_6610_c1_g1_i1.p1	TRINITY_GG_21276_c18_g1_i21.p1	TRINITY_GG_3546_c9_g3_i14.p1	A0A067RHE3|unreviewed|Hemocytin|taxID_136037
OG0002970	TRINITY_GG_10048_c4_g1_i1.p1	TRINITY_GG_16705_c0_g1_i1.p1	TRINITY_GG_12810_c0_g1_i1.p1	TRINITY_GG_33216_c0_g1_i2.p1	A0A067R1K0|unreviewed|Cathepsin
OG0002971	TRINITY_GG_1004_c0_g1_i5.p1	TRINITY_GG_7544_c0_g1_i3.p1	TRINITY_GG_22032_c0_g1_i1.p1	TRINITY_GG_33811_c0_g1_i2.p1	A0A067RII5|unreviewed|Exportin-T|taxID_136037
OG0002973	TRINITY_GG_10087_c0_g2_i3.p1	TRINITY_GG_34572_c0_g2_i1.p1	TRINITY_GG_29448_c0_g1_i1.p1	TRINITY_GG_24041_c0_g1_i3.p1	A0A067R7W4|unreviewed|Zer-1-like
OG0002975	TRINITY_GG_1013_c0_g1_i2.p1	TRINITY_GG_7549_c0_g1_i1.p1	TRINITY_GG_22025_c0_g1_i1.p1	TRINITY_GG_33806_c0_g1_i1.p1	A0A067QZN0|unreviewed|PID
OG0002976	TRINITY_GG_1013_c1_g1_i1.p1	TRINITY_GG_7549_c1_g1_i2.p1	TRINITY_GG_22019_c0_g1_i1.p1	TRINITY_GG_33806_c1_g1_i1.p1	A0A067QWU5|unreviewed|Ras-related
